,CATEGORY,StPreDir,StName,StType,StSufDir,StdUnitNum,OwnerName,OwnerName2,OwnerAddr,OwnerCity,OwnerState,OwnerCountry,OwnerZIP,LandArea,VacBldgYear,TaxBalDue
7725,,,RUTGER,ST,,,ST LOUIS UNIVERSITY,C/O TREASURER'S OFFICE,3500 LINDELL BLVD,ST LOUIS,MO,USA,63103,3685200,,0.0
7754,Fenced & Locked or Paved Lot,S,GRAND,BLVD,,,SSM SLUH INC,,10101 WOODFIELD LA,ST LOUIS,MO,USA,63132,725274,2011.0,0.0
439,,,LAFAYETTE,AV,,,ST LOUIS UNIVERSITY,,221 N GRAND BLVD,ST LOUIS,MO,,63103,553212,,0.0
7742,,S,GRAND,BLVD,,,ST LOUIS UNIVERSITY,,221 N GRAND BLVD,ST LOUIS,MO,,63107,460211,,0.0
7591,,,RANKEN,AV,,,ST LOUIS UNIVERSITY,PROPERTY MANAGER,221 N GRAND BLVD DUBOURG HALL RM 210,ST LOUIS,MO,USA,63103,435600,2006.0,0.0
7893,,,PARK,AV,,,SSM CARDINAL GLENNON CHILDRENS HOSP,,1465 S GRAND AV,ST LOUIS,MO,,63104,430730,1999.0,0.0
8520,,,CENTRAL INDUSTRIAL,DR,,,BURLINGTON NORTHERN RAILROAD CO,PROPERTY TAX DEPT,1700 E GOLF ROAD,SCHAUMBURG,IL,USA,60173,377665,,0.0
441,,S,GRAND,BLVD,,,BOARD OF EDUCATION CITY OF ST LOUIS,,801 N 11TH ST,ST LOUIS,MO,,63101,359022,,0.0
7755,,,MOTARD,AV,,,SSM SLUH INC,,10101 WOODFIELD LA,ST LOUIS,MO,,63132,271999,2015.0,0.0
7215,,S,JEFFERSON,AV,,,GREEN STREET JEFFERSON INVESTORS LLC,,8451 MARYLAND AVE STE 200,ST LOUIS,MO,USA,63105,256033,,0.0
