,CATEGORY,StPreDir,StName,StType,StSufDir,StdUnitNum,OwnerName,OwnerName2,OwnerAddr,OwnerCity,OwnerState,OwnerCountry,OwnerZIP,LandArea,VacBldgYear,TaxBalDue
2679,,S,GRAND,BLVD,,,SECOND STREET SANDWICHES INC,,920 OLIVE ST,ST LOUIS,MO,,63101,24394,,62469.76
7903,,,PARK,AV,,,WILLERT HOME PRODUCTS INC,,4044 PARK AV,ST LOUIS,MO,,63110,67114,,18939.4
344,,S,THERESA,AV,,,LC2022 LLC,,4240 MANCHESTER AV,ST LOUIS,MO,USA,63110,42074,,17807.32
4377,,,OHIO,AV,,,NATIONAL GRAPHICS,,2711 MIAMI,ST LOUIS MO,,,63118,70200,,17105.98
720,,,OHIO,AV,,,LABAFANA LLC,ATTN KURT RUSSO,1173 EURKEA RD,EUREKA,MO,USA,63025,7985,,13208.61
4291,,,TEXAS,AV,,,SA HOSPITAL REAL ESTATE HOLDINGS - JEFFE,LLC,269 W BONITA AV,CLAREMONT,CA,USA,91711,100630,,12978.25
3249,,S,GRAND,BLVD,,,3200 SOUTH GRAND LLC,,3453 HAWTHORNE BLVD,ST LOUIS,MO,USA,63104,9208,,12287.74
2271,,,PESTALOZZI,ST,,,"LIBBRA, JOSEPH & KELLY",,148 BELLE MAISON LN,ST LOUIS,MO,USA,63141,0,,12151.93
4356,,,TEXAS,AV,,,SA HOSPITAL REAL ESTATE HOLDINGS - JEFFE,LLC,269 W BONITA AV,CLAREMONT,CA,USA,91711,168842,,11463.2
1790,,,SHENANDOAH,AV,,,3200 SHENANDOAH LLC,,P O BOX 16192,ST LOUIS,MO,USA,63105,1476,,10118.48
